encoding_list,recall_list,word,new_old,correct,critical_word,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,encoding_loop.thisRepN,encoding_loop.thisTrialN,encoding_loop.thisN,encoding_loop.thisIndex,recognition_loop.thisRepN,recognition_loop.thisTrialN,recognition_loop.thisN,recognition_loop.thisIndex,thisRow.t,notes,Welcome.started,text_4.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,text_5.started,key_resp_3.started,instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,blank.started,blank.stopped,encoding.started,text.started,text.stopped,encoding.stopped,delay.started,text_7.started,text_7.stopped,delay.stopped,ready.started,text_2.started,ready.stopped,recognition.started,text_3.started,key_resp.started,recognition.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blankk.started,blankk.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.012506874976679683,0.022139540989883244,0.022139540989883244,1.5261015410069376,space,1.4756260419962928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.526153124985285,1.5487920829909854,1.5487920829909854,19.37328229099512,return,17.814754666003864,None,,,,,,,,,,,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,criminal,,,,0,0,0,1,0,0,0,3,,,,,19.402486541017424,,,,,,,,,,,,,,,,19.37330895802006,19.37352483300492,19.393309624982066,20.38908370799618,21.388835082994774,21.372820999997202,21.37283683300484,21.388835082994774,22.389006790996064,22.373542833025567,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,steal,,,,0,0,0,1,0,1,1,0,,,,,22.389006790996064,,,,,,,,,,,,,,,,,,22.37386095803231,22.389006790996064,,23.389510083012283,23.389528791012708,23.405675875023007,,24.389224541024305,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,villain,,,,0,0,0,1,0,2,2,2,,,,,24.405621832993347,,,,,,,,,,,,,,,,,,24.38951366598485,24.405621832993347,,25.38785125000868,25.38787241600221,25.404384416004177,,26.3877715410199,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,jail,,,,0,0,0,1,0,3,3,1,,,,,26.39812854101183,,,,,,,,,,,,,,,,,,26.388337832991965,26.39812854101183,,27.387807250022888,27.38782975001959,27.404353499994613,,28.387791707995348,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,money,,,,0,0,0,1,0,4,4,5,,,,,28.397572749992833,,,,,,,,,,,,,,,,,,28.3883083750261,28.397572749992833,,29.387576707988046,29.38759795803344,29.404394207987934,,30.389083290996496,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,robber,,,,0,0,0,1,0,5,5,9,,,,,30.40382100001443,,,,,,,,,,,,,,,,,,30.389360000030138,30.40382100001443,,31.38935837498866,31.38936783297686,31.40588354098145,,32.38939329102868,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,bank,,,,0,0,0,1,0,6,6,8,,,,,32.40547075000359,,,,,,,,,,,,,,,,,,32.38973158301087,32.40547075000359,,33.38941970799351,33.38942937500542,33.405436250031926,,34.387683833017945,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
encoding_list2.xlsx,recall_list2.xlsx,gun,,,,0,0,0,1,0,7,7,7,,,,,34.40638758300338,,,,,,,,,,,,,,,,,,34.38824729103362,34.40638758300338,,35.38920458301436,35.38921400002437,35.40412066603312,,36.38893800001824,,,,,,,,,,,,,,405822,001,2023-12-04_19h39.03.439,DRM_HieuLe,2023.2.1,59.98353438745135,2023-12-04 19h39.09.835775 -0600,
